;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continuação);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Estarreja;  14 018;  7 006;  7 012;  6 584;  2 844;  3 740;  3 344;  1 336;  2 008;;16D0108;;;;x
Ílhavo;  22 174;  10 673;  11 501;  8 970;  3 933;  5 037;  4 169;  1 692;  2 477;;16D0110;;;;x
Murtosa;  5 530;  2 755;  2 775;  2 644;  1 134;  1 510;  1 335;   540;   795;;16D0112;;;;x
Oliveira do Bairro;  12 638;  6 122;  6 516;  5 682;  2 451;  3 231;  2 945;  1 198;  1 747;;16D0114;;;;x
Ovar;  30 398;  14 726;  15 672;  12 514;  5 513;  7 001;  5 598;  2 316;  3 282;;16D0115;;;;x
Sever do Vouga;  5 396;  2 678;  2 718;  3 321;  1 472;  1 849;  1 726;   730;   996;;16D0117;;;;x
Vagos;  12 402;  6 089;  6 313;  5 768;  2 539;  3 229;  2 912;  1 218;  1 694;;16D0118;;;;x
   Região de Coimbra;  224 501;  108 600;  115 901;  124 145;  53 151;  70 994;  63 658;  25 298;  38 360;;16E;;;x;
Arganil;  5 384;  2 664;  2 720;  3 713;  1 643;  2 070;  2 049;   852;  1 197;;16E0601;;;;x
Cantanhede;  16 778;  8 142;  8 636;  10 529;  4 534;  5 995;  5 560;  2 206;  3 354;;16E0602;;;;x
Coimbra;  74 942;  35 632;  39 310;  36 929;  15 466;  21 463;  18 093;  7 082;  11 011;;16E0603;;;;x
Condeixa-a-Nova;  9 129;  4 343;  4 786;  3 968;  1 636;  2 332;  2 053;   794;  1 259;;16E0604;;;;x
Figueira da Foz;  29 982;  14 429;  15 553;  17 145;  7 469;  9 676;  8 567;  3 465;  5 102;;16E0605;;;;x
Góis;  1 701;   842;   859;  1 440;   619;   821;   833;   316;   517;;16E0606;;;;x
Lousã;  9 141;  4 407;  4 734;  4 002;  1 775;  2 227;  1 995;   831;  1 164;;16E0607;;;;x
Mealhada;  10 209;  4 993;  5 216;  5 198;  2 233;  2 965;  2 671;  1 066;  1 605;;16E0111;;;;x
Mira;  5 968;  2 919;  3 049;  3 787;  1 625;  2 162;  2 016;   803;  1 213;;16E0608;;;;x
Miranda do Corvo;  6 250;  3 102;  3 148;  3 291;  1 426;  1 865;  1 715;   674;  1 041;;16E0609;;;;x
Montemor-o-Velho;  12 962;  6 381;  6 581;  6 477;  2 787;  3 690;  3 410;  1 371;  2 039;;16E0610;;;;x
Mortágua;  4 152;  2 085;  2 067;  3 219;  1 409;  1 810;  1 668;   705;   963;;16E1808;;;;x
Oliveira do Hospital;  9 757;  4 792;  4 965;  5 575;  2 414;  3 161;  2 894;  1 154;  1 740;;16E0611;;;;x
Pampilhosa da Serra;  1 705;   870;   835;  1 845;   801;  1 044;  1 049;   399;   650;;16E0612;;;;x
Penacova;  6 298;  3 120;  3 178;  4 244;  1 806;  2 438;  2 172;   848;  1 324;;16E0613;;;;x
Penela;  2 746;  1 380;  1 366;  1 715;   753;   962;   979;   398;   581;;16E0614;;;;x
Soure;  8 092;  3 980;  4 112;  5 797;  2 448;  3 349;  3 133;  1 223;  1 910;;16E0615;;;;x
Tábua;  5 567;  2 740;  2 827;  3 441;  1 507;  1 934;  1 869;   745;  1 124;;16E0616;;;;x
Vila Nova de Poiares;  3 738;  1 779;  1 959;  1 830;   800;  1 030;   932;   366;   566;;16E0617;;;;x
   Região de Leiria;  150 333;  73 527;  76 806;  74 454;  32 871;  41 583;  37 538;  15 417;  22 121;;16F;;;x;
Alvaiázere;  2 874;  1 443;  1 431;  2 336;   956;  1 380;  1 293;   474;   819;;16F1002;;;;x
Ansião;  5 602;  2 789;  2 813;  3 792;  1 624;  2 168;  2 119;   839;  1 280;;16F1003;;;;x
Batalha;  8 392;  4 075;  4 317;  3 723;  1 745;  1 978;  1 784;   797;   987;;16F1004;;;;x
Castanheira de Pêra;  1 254;   621;   633;   999;   427;   572;   522;   190;   332;;16F1007;;;;x
