;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continua);;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Nados-vivos;;;;;Óbitos;;;;;;;;;
;Total;;;Fora do casamento;;Total;;;"Com 
menos
de 1 ano";;;Desagregação Territorial;;;
;HM;H;M;Total;Com coabitação dos pais;HM;H;M;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Macedo de Cavaleiros;   76;   38;   38;   50;   43;   249;   123;   126;0;;11E0405;;;;x
Miranda do Douro;   24;   14;   10;   15;   11;   104;   49;   55;0;;11E0406;;;;x
Mirandela;   115;   73;   42;   75;   59;   335;   166;   169;0;;11E0407;;;;x
Mogadouro;   39;   19;   20;   22;   21;   120;   70;   50;0;;11E0408;;;;x
Vila Flor;   34;   12;   22;   26;   21;   119;   64;   55;0;;11E0410;;;;x
Vimioso;   20;   14;   6;   14;   7;   94;   53;   41;0;;11E0411;;;;x
Vinhais;   34;   17;   17;   26;   22;   175;   83;   92;0;;11E0412;;;;x
  Centro;  15 707;  8 140;  7 567;  9 571;  7 681;  30 991;  15 249;  15 742;   40;;16;;x;;
   Oeste;  2 998;  1 580;  1 418;  1 961;  1 473;  4 736;  2 354;  2 382;   7;;16B;;;x;
Alcobaça;   437;   245;   192;   285;   223;   715;   361;   354;0;;16B1001;;;;x
Alenquer;   392;   213;   179;   238;   182;   463;   219;   244;   2;;16B1101;;;;x
Arruda dos Vinhos;   130;   67;   63;   89;   67;   160;   88;   72;0;;16B1102;;;;x
Bombarral;   99;   43;   56;   62;   47;   186;   83;   103;   2;;16B1005;;;;x
Cadaval;   87;   54;   33;   63;   44;   259;   112;   147;0;;16B1104;;;;x
Caldas da Rainha;   376;   196;   180;   244;   175;   710;   349;   361;0;;16B1006;;;;x
Lourinhã;   220;   115;   105;   150;   115;   363;   183;   180;   1;;16B1108;;;;x
Nazaré;   110;   54;   56;   73;   50;   215;   118;   97;   1;;16B1011;;;;x
Óbidos;   100;   51;   49;   73;   54;   160;   89;   71;0;;16B1012;;;;x
Peniche;   240;   128;   112;   180;   136;   360;   201;   159;0;;16B1014;;;;x
Sobral de Monte Agraço;   92;   50;   42;   60;   46;   127;   52;   75;   1;;16B1112;;;;x
Torres Vedras;   715;   364;   351;   444;   334;  1 018;   499;   519;0;;16B1113;;;;x
   Região de Aveiro;  2 810;  1 461;  1 349;  1 676;  1 299;  4 190;  2 112;  2 078;   9;;16D;;;x;
Águeda;   350;   184;   166;   216;   167;   544;   280;   264;   1;;16D0101;;;;x
Albergaria-a-Velha;   172;   88;   84;   108;   89;   293;   146;   147;   1;;16D0102;;;;x
Anadia;   182;   92;   90;   114;   86;   418;   205;   213;0;;16D0103;;;;x
Aveiro;   654;   325;   329;   377;   302;   767;   394;   373;   3;;16D0105;;;;x
Estarreja;   202;   101;   101;   115;   87;   339;   152;   187;0;;16D0108;;;;x
Ílhavo;   322;   179;   143;   183;   146;   422;   213;   209;   1;;16D0110;;;;x
Murtosa;   67;   37;   30;   40;   30;   144;   74;   70;0;;16D0112;;;;x
Oliveira do Bairro;   175;   89;   86;   109;   88;   274;   133;   141;   1;;16D0114;;;;x
Ovar;   420;   228;   192;   269;   200;   552;   288;   264;   2;;16D0115;;;;x
Sever do Vouga;   71;   36;   35;   39;   28;   164;   83;   81;0;;16D0117;;;;x
Vagos;   195;   102;   93;   106;   76;   273;   144;   129;0;;16D0118;;;;x
   Região de Coimbra;  2 963;  1 542;  1 421;  1 748;  1 479;  6 033;  2 940;  3 093;   7;;16E;;;x;
Arganil;   67;   26;   41;   45;   36;   206;   88;   118;0;;16E0601;;;;x
Cantanhede;   250;   122;   128;   140;   116;   522;   266;   256;   1;;16E0602;;;;x
