;;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continua);;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (to be continued);;;;;;;;;;;;;;;;;;;;;;;;;;
;Densidade populacional ;Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;;;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
   Alto Alentejo;  17,1;-  0,87;-1,20;  0,33;  6,7;  18,7;  2,8;  1,5;  36,6;  13,8;  1,46;  34,9;  74,3;  39,2;;186;;;x;;;186;;;x;
Alter do Chão;  8,7;  1,05;-1,56;  2,61;  7,3;  22,9;  1,9;  1,0;  41,6;x;x;  33,2;  60,9;  60,0;;1861201;;;;x;;1861201;;;;x
Arronches;  8,8;-  0,40;-1,40;  1,01;  8,3;  22,3;  1,8;  2,9;  49,4;x;x;  32,6;  60,9;  40,0;;1861202;;;;x;;1861202;;;;x
Avis;  6,2;-  1,10;-1,31;  0,21;  7,6;  20,8;  3,7;  1,6;  42,6;x;x;  34,2;  93,1;  42,9;;1861203;;;;x;;1861203;;;;x
Campo Maior;  32,2;-  0,96;-0,76;-  0,20;  7,6;  15,3;  1,9;  1,6;  36,8;x;x;  39,9;  85,2;  33,3;;1861204;;;;x;;1861204;;;;x
Castelo de Vide;  12,1;-  0,25;-1,81;  1,56;  4,7;  22,8;  2,5;  2,5;  27,8;x;x;  32,5;  73,3;  0,0;;1861205;;;;x;;1861205;;;;x
Crato;  8,2;  0,34;-1,60;  1,94;  6,5;  22,5;  4,9;  0,6;  44,4;x;x;  27,7;  61,9;  37,5;;1861206;;;;x;;1861206;;;;x
Elvas;  32,3;-  1,15;-1,05;-  0,09;  6,9;  17,4;  3,5;  1,5;  34,7;x;x;  37,8;  77,3;  47,1;;1861207;;;;x;;1861207;;;;x
Fronteira;  11,8;-  0,41;-1,36;  0,95;  6,4;  20,0;  5,1;  0,7;  34,6;x;x;  35,4;  89,5;  20,0;;1861208;;;;x;;1861208;;;;x
Gavião;  11,4;-  0,59;-2,17;  1,57;  3,9;  25,5;  6,2;  1,2;  26,4;x;x;  28,1;  53,8;  19,0;;1861209;;;;x;;1861209;;;;x
Marvão;  19,6;-  1,05;-2,03;  0,98;  4,9;  25,2;  1,3;  2,0;  27,4;x;x;  34,2;  93,3;  25,0;;1861210;;;;x;;1861210;;;;x
Monforte;  7,1;-  1,04;-1,81;  0,77;  7,0;  25,1;  1,0;  1,0;  35,7;x;x;  37,3;  81,0;  33,3;;1861211;;;;x;;1861211;;;;x
Nisa;  9,9;-  1,85;-2,30;  0,45;  5,7;  28,7;  1,7;  1,6;  40,5;x;x;  26,8;  69,7;  80,0;;1861212;;;;x;;1861212;;;;x
Ponte de Sor;  18,1;-  0,57;-0,83;  0,27;  7,8;  16,1;  2,2;  1,6;  44,0;x;x;  33,9;  74,6;  38,2;;1861213;;;;x;;1861213;;;;x
Portalegre;  49,2;-  1,13;-0,77;-  0,36;  6,5;  14,2;  2,9;  1,6;  34,2;x;x;  35,8;  63,9;  42,9;;1861214;;;;x;;1861214;;;;x
Sousel;  15,7;-  0,95;-1,59;  0,64;  5,5;  21,3;  1,8;  1,8;  29,1;x;x;  35,0;  91,7;  25,0;;1861215;;;;x;;1861215;;;;x
   Alentejo Central;  20,7;-  0,43;-0,90;  0,47;  7,2;  16,2;  3,6;  1,4;  37,2;  11,9;  1,46;  37,1;  69,4;  29,0;;187;;;x;;;187;;;x;
Alandroal;  9,2;-  0,54;-1,67;  1,14;  4,4;  21,1;  3,4;  0,8;  25,8;x;x;  33,4;  72,7;  17,6;;1870701;;;;x;;1870701;;;;x
Arraiolos;  9,9;  0,34;-1,43;  1,77;  5,6;  19,9;  4,2;  0,7;  30,4;x;x;  36,2;  73,7;  28,6;;1870702;;;;x;;1870702;;;;x
Borba;  44,1;-  0,93;-1,06;  0,12;  7,0;  17,6;  1,1;  2,3;  39,8;x;x;  34,4;  66,7;  42,9;;1870703;;;;x;;1870703;;;;x
Estremoz;  24,5;-  1,03;-1,11;  0,08;  7,0;  18,2;  3,6;  0,9;  38,4;x;x;  34,7;  65,2;  40,9;;1870704;;;;x;;1870704;;;;x
Évora;  41,0;-  0,48;-0,59;  0,11;  7,9;  13,7;  4,0;  1,6;  37,6;x;x;  39,7;  65,2;  30,4;;1870705;;;;x;;1870705;;;;x
Montemor-o-Novo;  12,9;-  0,81;-1,17;  0,36;  6,6;  18,3;  3,0;  1,6;  35,1;x;x;  36,0;  75,2;  6,4;;1870706;;;;x;;1870706;;;;x
Mora;  9,4;-  0,26;-1,79;  1,53;  4,1;  22,0;  1,7;  1,7;  25,3;x;x;  30,6;  88,2;  14,3;;1870707;;;;x;;1870707;;;;x
Mourão;  8,6;  0,46;-0,92;  1,38;  10,0;  19,2;  5,0;  1,3;  56,1;x;x;  36,4;  87,5;  25,0;;1870708;;;;x;;1870708;;;;x
Portel;  9,5;-  0,54;-0,85;  0,31;  8,0;  16,5;  1,9;  1,0;  42,5;x;x;  36,8;  80,4;  20,0;;1870709;;;;x;;1870709;;;;x
Redondo;  17,0;-  0,38;-0,99;  0,61;  8,0;  17,8;  2,2;  1,3;  42,3;x;x;  36,6;  82,0;  21,4;;1870710;;;;x;;1870710;;;;x
Reguengos de Monsaraz;  21,1;-  0,70;-1,08;  0,38;  7,3;  18,1;  3,8;  1,6;  38,1;x;x;  37,3;  75,0;  19,4;;1870711;;;;x;;1870711;;;;x
Vendas Novas;  51,4;  0,54;-0,59;  1,13;  8,4;  14,3;  4,5;  1,3;  43,9;x;x;  36,9;  61,5;  32,0;;1870712;;;;x;;1870712;;;;x
Viana do Alentejo;  14,0;  0,99;-0,95;  1,94;  6,6;  16,1;  3,3;  1,3;  34,2;x;x;  37,0;  66,7;  44,4;;1870713;;;;x;;1870713;;;;x
Vila Viçosa;  37,5;-  0,90;-0,78;-  0,12;  5,3;  13,1;  5,6;  0,8;  28,6;x;x;  35,7;  69,2;  45,0;;1870714;;;;x;;1870714;;;;x
  Algarve;  94,5;  0,43;-0,38;  0,80;  8,6;  12,4;  4,1;  1,8;  41,8;  10,1;  1,61;  40,0;  68,2;  13,8;;150;;x;x;;;150;;x;x;
Albufeira;  321,1;  1,03;0,04;  0,99;  9,7;  9,3;  5,8;  1,9;  43,2;x;x;  43,7;  60,6;  10,7;;1500801;;;;x;;1500801;;;;x
Alcoutim;  4,3;-  2,21;-3,14;  0,93;  3,6;  35,0;  12,5;  1,6;  27,9;x;x;  25,2;  66,7;  3,2;;1500802;;;;x;;1500802;;;;x
Aljezur;  19,1;  0,08;-0,67;  0,75;  9,9;  16,5;  7,8;  0,6;  51,8;x;x;  38,1;  70,5;  0,0;;1500803;;;;x;;1500803;;;;x
Castro Marim;  22,2;  1,42;-0,82;  2,23;  7,2;  15,4;  10,4;  2,0;  41,8;x;x;  34,2;  87,5;  29,0;;1500804;;;;x;;1500804;;;;x
Faro;  336,6;  0,49;-0,23;  0,72;  8,7;  11,0;  1,9;  2,1;  39,8;x;x;  41,6;  67,6;  21,0;;1500805;;;;x;;1500805;;;;x
Lagoa;  274,8;  0,76;-0,46;  1,21;  7,9;  12,5;  2,5;  1,4;  38,9;x;x;  39,6;  75,4;  20,0;;1500806;;;;x;;1500806;;;;x
Lagos;  157,3;-  0,21;-0,40;  0,19;  8,4;  12,4;  6,7;  1,3;  42,8;x;x;  38,2;  70,3;  9,6;;1500807;;;;x;;1500807;;;;x
Loulé;  94,9;  0,15;-0,39;  0,55;  8,6;  12,6;  4,4;  1,5;  41,6;x;x;  39,9;  66,7;  17,8;;1500808;;;;x;;1500808;;;;x
Monchique;  13,6;-  1,22;-1,45;  0,22;  6,3;  20,8;  7,6;  1,1;  40,0;x;x;  31,7;  82,4;  34,2;;1500809;;;;x;;1500809;;;;x
Olhão;  340,7;-  0,08;-0,45;  0,36;  8,5;  13,0;  1,6;  2,0;  40,4;x;x;  41,0;  75,0;  13,2;;1500810;;;;x;;1500810;;;;x
Portimão;  334,4;  0,99;-0,06;  1,06;  10,5;  11,1;  2,3;  2,3;  48,4;x;x;  41,5;  65,5;  11,9;;1500811;;;;x;;1500811;;;;x
São Brás de Alportel;  74,5;  0,59;-0,54;  1,13;  6,6;  12,0;  24,1;  1,8;  32,5;x;x;  39,2;  69,3;  7,8;;1500812;;;;x;;1500812;;;;x
Silves;  56,7;  0,89;-0,54;  1,43;  8,3;  13,6;  2,0;  1,4;  41,1;x;x;  39,6;  70,0;  7,9;;1500813;;;;x;;1500813;;;;x
Tavira;  45,3;-  0,07;-0,71;  0,64;  6,8;  13,9;  2,7;  1,7;  38,6;x;x;  35,0;  64,4;  33,3;;1500814;;;;x;;1500814;;;;x
Vila do Bispo;  32,4;-  0,10;-0,62;  0,52;  9,0;  15,2;  10,5;  1,6;  46,7;x;x;  37,2;  76,9;  0,0;;1500815;;;;x;;1500815;;;;x
Vila Real de Santo António;  310,1;  0,39;-0,59;  0,98;  7,5;  13,4;  2,9;  1,8;  37,7;x;x;  38,3;  66,2;  15,1;;1500816;;;;x;;1500816;;;;x
 R. A. Açores;  103,3;  0,48;-0,27;  0,75;  8,6;  11,3;  3,8;  2,4;  36,5;  10,9;  1,34;  46,2;  57,7;  27,3;;200;x;x;x;;;200;x;x;x;
  Santa Maria;  56,7;  0,13;-0,57;  0,69;  6,9;  12,6;  1,8;  1,6;  29,8;x;x;  44,9;  86,8;  30,0;;-;;;;;;-;;;;
Vila do Porto;  56,7;  0,13;-0,57;  0,69;  6,9;  12,6;  1,8;  1,6;  29,8;x;x;  44,9;  86,8;  30,0;;2004101;;;;x;;2004101;;;;x
  São Miguel;  182,3;  0,75;-0,06;  0,81;  9,3;  9,9;  4,0;  2,7;  37,5;x;x;  48,4;  57,7;  23,6;;-;;;;;;-;;;;
Lagoa (R.A.A.);  322,7;  1,72;0,05;  1,67;  9,4;  8,8;  9,1;  2,3;  36,8;x;x;  50,1;  62,0;  10,2;;2004201;;;;x;;2004201;;;;x
Nordeste;  43,7;-  0,09;-0,97;  0,88;  7,4;  17,1;  4,7;  2,0;  35,1;x;x;  41,9;  60,6;  20,0;;2004202;;;;x;;2004202;;;;x
Ponta Delgada;  293,2;  0,69;-0,08;  0,77;  9,1;  9,9;  3,2;  3,3;  36,8;x;x;  47,7;  60,2;  28,4;;2004203;;;;x;;2004203;;;;x
Povoação;  55,2;  0,02;-0,90;  0,92;  6,1;  15,1;  3,4;  2,2;  26,9;x;x;  44,7;  44,4;  26,3;;2004204;;;;x;;2004204;;;;x
Ribeira Grande;  177,8;  0,87;0,26;  0,61;  10,9;  8,3;  3,3;  2,1;  42,5;x;x;  51,0;  53,7;  30,5;;2004205;;;;x;;2004205;;;;x
Vila Franca do Campo;  133,1;  0,14;-0,21;  0,35;  8,0;  10,1;  4,9;  1,5;  33,4;x;x;  48,1;  53,0;  23,5;;2004206;;;;x;;2004206;;;;x
  Terceira;  133,8;  0,04;-0,48;  0,52;  7,8;  12,6;  4,0;  2,2;  34,6;x;x;  43,7;  51,4;  33,7;;-;;;;;;-;;;;
Angra do Heroísmo;  141,8;-  0,07;-0,52;  0,45;  7,8;  13,0;  4,8;  1,9;  34,5;x;x;  43,6;  52,7;  35,0;;2004301;;;;x;;2004301;;;;x
Vila da Praia da Vitória;  122,0;  0,24;-0,40;  0,64;  7,8;  11,8;  2,6;  2,6;  34,8;x;x;  43,9;  49,4;  29,4;;2004302;;;;x;;2004302;;;;x
  Graciosa;  67,8;  0,07;-0,63;  0,71;  10,0;  16,3;  1,7;  2,4;  46,9;x;x;  42,1;  75,6;  57,1;;-;;;;;;-;;;;
Santa Cruz da Graciosa;  67,8;  0,07;-0,63;  0,71;  10,0;  16,3;  1,7;  2,4;  46,9;x;x;  42,1;  75,6;  57,1;;2004401;;;;x;;2004401;;;;x
  São Jorge;  34,7;-  0,04;-0,80;  0,77;  7,7;  15,7;  2,2;  1,8;  36,3;x;x;  42,0;  63,1;  21,1;;-;;;;;;-;;;;
Calheta (R.A.A.);  27,8;-  0,09;-0,94;  0,85;  8,0;  17,4;  0,9;  2,0;  38,9;x;x;  40,6;  67,9;  33,3;;2004501;;;;x;;2004501;;;;x
Velas;  42,2;  0,00;-0,71;  0,71;  7,5;  14,5;  3,2;  1,6;  34,6;x;x;  43,0;  59,5;  18,8;;2004502;;;;x;;2004502;;;;x
  Pico;  32,0;  0,60;-0,68;  1,28;  7,9;  14,7;  4,4;  2,4;  36,4;x;x;  42,4;  57,1;  29,0;;-;;;;;;-;;;;
Lajes do Pico;  28,2;-  0,46;-0,93;  0,48;  6,8;  16,2;  3,4;  2,7;  32,7;x;x;  40,7;  56,7;  13,3;;2004601;;;;x;;2004601;;;;x
Madalena;  44,1;  0,62;-0,73;  1,35;  8,4;  15,6;  5,0;  2,3;  37,0;x;x;  44,3;  51,9;  40,6;;2004602;;;;x;;2004602;;;;x
São Roque do Pico;  23,6;  1,96;-0,27;  2,23;  8,4;  11,1;  4,5;  2,1;  40,1;x;x;  40,9;  67,9;  20,0;;2004603;;;;x;;2004603;;;;x
  Faial;  83,3;-  0,04;-0,41;  0,37;  7,8;  11,9;  3,7;  1,5;  34,7;x;x;  43,4;  58,9;  35,8;;-;;;;;;-;;;;
Horta;  83,3;-  0,04;-0,41;  0,37;  7,8;  11,9;  3,7;  1,5;  34,7;x;x;  43,4;  58,9;  35,8;;2004701;;;;x;;2004701;;;;x
  Flores;  24,9;  0,34;-0,77;  1,12;  5,7;  13,4;  2,6;  2,0;  26,0;x;x;  44,5;  65,0;  20,0;;-;;;;;;-;;;;
Lajes das Flores;  20,5;  1,26;-0,63;  1,89;  7,0;  13,3;  2,1;  0,7;  33,1;x;x;  43,9;  50,0;  0,0;;2004801;;;;x;;2004801;;;;x
Santa Cruz das Flores;  29,2;-  0,29;-0,87;  0,58;  4,8;  13,5;  3,4;  2,9;  21,4;x;x;  44,9;  80,0;  28,6;;2004802;;;;x;;2004802;;;;x
  Corvo;  25,2;  4,50;0,47;  4,02;  9,5;  4,7;  2,4;  2,4;  44,9;x;x;  43,8;  100,0;  100,0;;-;;;;;;-;;;;
Corvo;  25,2;  4,50;0,47;  4,02;  9,5;  4,7;  2,4;  2,4;  44,9;x;x;  43,8;  100,0;  100,0;;2004901;;;;x;;2004901;;;;x
 R. A. Madeira;  316,1;  0,22;-0,53;  0,76;  6,9;  12,3;  4,5;  2,2;  31,9;  3,6;  1,25;  40,9;  62,3;  28,1;;300;x;x;x;;;300;x;x;x;
Calheta (R.A.M.);  98,3;-  0,05;-1,15;  1,09;  7,0;  18,5;  6,9;  2,1;  36,2;x;x;  36,0;  50,6;  21,1;;3003101;;;;x;;3003101;;;;x
Câmara de Lobos;  621,4;  0,21;-0,14;  0,35;  8,3;  9,7;  2,8;  2,0;  35,3;x;x;  45,0;  71,5;  37,8;;3003102;;;;x;;3003102;;;;x
Funchal; 1 396,3;  0,03;-0,58;  0,61;  6,8;  12,6;  4,6;  2,0;  32,3;x;x;  39,1;  61,9;  35,8;;3003103;;;;x;;3003103;;;;x
Machico;  285,8;-  0,56;-0,72;  0,16;  5,4;  12,6;  4,4;  1,9;  26,6;x;x;  39,1;  59,4;  29,1;;3003104;;;;x;;3003104;;;;x
Ponta do Sol;  184,1;  0,52;-0,77;  1,28;  6,0;  13,7;  6,5;  2,5;  27,5;x;x;  40,8;  58,8;  23,1;;3003105;;;;x;;3003105;;;;x
Porto Moniz;  30,1;  0,24;-1,32;  1,56;  5,2;  18,4;  18,0;  1,2;  27,9;x;x;  33,5;  46,2;  2,4;;3003106;;;;x;;3003106;;;;x
Ribeira Brava;  196,4;  0,20;-0,83;  1,04;  5,5;  13,9;  4,4;  2,1;  24,8;x;x;  40,9;  50,7;  30,9;;3003107;;;;x;;3003107;;;;x
Santa Cruz;  534,0;  1,05;-0,12;  1,17;  7,9;  9,2;  3,8;  2,8;  32,6;x;x;  46,5;  65,0;  15,8;;3003108;;;;x;;3003108;;;;x
Santana;  67,6;-  1,16;-1,22;  0,06;  6,3;  18,5;  4,2;  2,0;  35,3;x;x;  32,8;  46,3;  15,4;;3003109;;;;x;;3003109;;;;x
São Vicente;  61,6;-  0,08;-1,09;  1,01;  4,7;  15,6;  3,5;  2,3;  25,9;x;x;  34,1;  43,5;  6,3;;3003110;;;;x;;3003110;;;;x
Porto Santo;  125,3;  2,60;-0,44;  3,03;  7,4;  11,7;  6,8;  2,8;  34,6;x;x;  41,5;  71,8;  19,4;;3003201;;;;x;;3003201;;;;x
;Population density;Crude rate of increase;Crude rate of natural increase;Crude migratory rate;Crude birth rate;Crude death rate;Crude marriage rate;Crude divorce rate;General fertility rate;Teenage fertility rate;Total fertility rate;Women in childbearing age within female resident population ;Live births outside marriage;Proportion of catholic marriages;;;;;;;;;;;;
;No./km2;%;;;‰;;;;;;No.;%;;;;;;;;;;;;;;
© INE, I.P., Portugal, 2023. Informação disponível até 16 de outubro de 2023. Information available till 16th October, 2023.;;;;;;;;;;;;;;;;;;;;;;;;;;
Fonte: INE, I.P., Indicadores Demográficos e Estimativas Anuais da População Residente.;;;;;;;;;;;;;;;;;;;;;;;;;;
Source: Statistics Portugal, Demographic Indicators and Annual Estimates of Resident Population.;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nota: Não se apresentam os dados da taxa bruta de nupcialidade e proporção de casamentos católicos para o município de Odivelas devido à inexistência de Conservatória de Registo Civil neste município.
";;;;;;;;;;;;;;;;;;;;;;;;;;
"Note: The crude marriage rate and proportion of catholic marriages for Odivelas are not available due to the non-existence of Civil Register Offices in that municipality.                                                                                                                                                                                         
";;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Para mais informação consulte / For more information see:;;;;;;;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008337;;http://www.ine.pt/xurl/ind/0008264;;;http://www.ine.pt/xurl/ind/0008276;;;http://www.ine.pt/xurl/ind/0008216;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008262;;http://www.ine.pt/xurl/ind/0008265;;;http://www.ine.pt/xurl/ind/0008275;;;http://www.ine.pt/xurl/ind/0008209;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008263;;http://www.ine.pt/xurl/ind/0008283;;;http://www.ine.pt/xurl/ind/0008274;;;;;;;;;;;;;;;;;;;;;
http://www.ine.pt/xurl/ind/0008253;;http://www.ine.pt/xurl/ind/0008300;;;http://www.ine.pt/xurl/ind/0008254;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
