;;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continua);;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (to be continued);;;;;;;;;;;;;;;;;;;;;;;;;;
;Densidade populacional ;Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;;;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Murça;  27,5;-  0,42;-1,45;  1,03;  3,1;  17,6;  2,9;  1,5;  19,2;x;x;  31,0;  56,3;  46,7;;11D1707;;;;x;;11D1707;;;;x
Penedono;  20,8;-  0,32;-1,33;  1,00;  5,4;  18,6;  5,0;  1,8;  30,4;x;x;  34,0;  53,3;  28,6;;11D1812;;;;x;;11D1812;;;;x
Peso da Régua;  151,8;-  0,64;-0,70;  0,06;  5,9;  12,9;  3,9;  2,1;  30,6;x;x;  35,9;  60,0;  31,6;;11D1708;;;;x;;11D1708;;;;x
Sabrosa;  35,6;  0,29;-0,97;  1,26;  6,1;  15,8;  1,4;  1,3;  34,0;x;x;  34,7;  58,8;  50,0;;11D1710;;;;x;;11D1710;;;;x
Santa Marta de Penaguião;  86,5;-  0,81;-1,18;  0,37;  4,2;  16,0;  2,5;  0,7;  24,4;x;x;  32,5;  52,0;  53,3;;11D1711;;;;x;;11D1711;;;;x
São João da Pesqueira;  25,5;-  0,57;-0,85;  0,28;  6,0;  14,6;  2,4;  1,6;  32,7;x;x;  36,2;  63,4;  31,3;;11D1815;;;;x;;11D1815;;;;x
Sernancelhe;  25,1;  0,63;-1,07;  1,70;  4,2;  14,9;  3,8;  0,9;  24,7;x;x;  33,2;  62,5;  59,1;;11D1818;;;;x;;11D1818;;;;x
Tabuaço;  37,4;-  0,62;-1,11;  0,50;  6,0;  17,1;  3,8;  1,4;  33,7;x;x;  33,7;  70,0;  31,6;;11D1819;;;;x;;11D1819;;;;x
Tarouca;  74,6;  1,10;-0,66;  1,77;  5,0;  11,6;  2,0;  2,0;  25,1;x;x;  38,2;  64,9;  53,3;;11D1820;;;;x;;11D1820;;;;x
Torre de Moncorvo;  12,7;-  0,67;-1,57;  0,90;  5,5;  21,2;  2,8;  1,2;  39,5;x;x;  26,7;  75,7;  21,1;;11D0409;;;;x;;11D0409;;;;x
Vila Nova de Foz Côa;  15,8;-  0,25;-1,53;  1,27;  5,1;  20,3;  2,1;  1,4;  33,2;x;x;  29,6;  75,0;  38,5;;11D0914;;;;x;;11D0914;;;;x
Vila Real;  131,0;  0,02;-0,45;  0,47;  7,1;  11,6;  3,0;  1,9;  34,3;x;x;  39,0;  54,2;  47,7;;11D1714;;;;x;;11D1714;;;;x
   Terras de Trás-os-Montes;  19,3;-  0,10;-1,07;  0,97;  5,7;  16,4;  2,6;  1,4;  33,3;  9,0;  1,26;  33,2;  69,4;  38,1;;11E;;;x;;;11E;;;x;
Alfândega da Fé;  13,1;-  1,04;-1,41;  0,38;  6,6;  20,7;  1,2;  1,2;  42,6;x;x;  30,5;  75,0;  20,0;;11E0401;;;;x;;11E0401;;;;x
Bragança;  29,8;  0,69;-0,66;  1,35;  7,0;  13,6;  3,0;  1,5;  35,1;x;x;  38,2;  72,5;  36,5;;11E0402;;;;x;;11E0402;;;;x
Macedo de Cavaleiros;  20,2;-  0,12;-1,22;  1,10;  5,4;  17,6;  3,6;  1,8;  31,9;x;x;  32,1;  65,8;  33,3;;11E0405;;;;x;;11E0405;;;;x
Miranda do Douro;  13,0;-  0,97;-1,26;  0,28;  3,8;  16,3;  1,7;  0,5;  24,9;x;x;  29,5;  62,5;  54,5;;11E0406;;;;x;;11E0406;;;;x
Mirandela;  32,3;-  0,18;-1,03;  0,85;  5,4;  15,7;  2,3;  1,3;  30,3;x;x;  33,7;  65,2;  38,8;;11E0407;;;;x;;11E0407;;;;x
