;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continua);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Total;;;0 a 14 anos;;;15 a 24 anos;;;;;Desagregação Territorial;;;
;HM;H;M;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Torre de Moncorvo;  6 737;  3 225;  3 512;   560;   289;   271;   459;   227;   232;;11D0409;;;;x
Vila Nova de Foz Côa;  6 282;  3 014;  3 268;   540;   264;   276;   473;   233;   240;;11D0914;;;;x
Vila Real;  49 610;  23 440;  26 170;  5 964;  3 052;  2 912;  5 041;  2 580;  2 461;;11D1714;;;;x
   Terras de Trás-os-Montes;  106 917;  51 534;  55 383;  10 157;  5 209;  4 948;  9 279;  4 731;  4 548;;11E;;;x;
Alfândega da Fé;  4 227;  2 067;  2 160;   359;   188;   171;   327;   142;   185;;11E0401;;;;x
Bragança;  34 977;  16 800;  18 177;  3 806;  1 940;  1 866;  3 511;  1 798;  1 713;;11E0402;;;;x
Macedo de Cavaleiros;  14 150;  6 753;  7 397;  1 286;   652;   634;  1 240;   620;   620;;11E0405;;;;x
Miranda do Douro;  6 335;  3 067;  3 268;   533;   275;   258;   474;   252;   222;;11E0406;;;;x
Mirandela;  21 296;  10 099;  11 197;  2 154;  1 100;  1 054;  1 894;   935;   959;;11E0407;;;;x
Mogadouro;  8 247;  4 000;  4 247;   665;   319;   346;   588;   303;   285;;11E0408;;;;x
Vila Flor;  6 027;  2 945;  3 082;   545;   299;   246;   512;   277;   235;;11E0410;;;;x
Vimioso;  4 145;  2 073;  2 072;   313;   169;   144;   277;   149;   128;;11E0411;;;;x
Vinhais;  7 513;  3 730;  3 783;   496;   267;   229;   456;   255;   201;;11E0412;;;;x
  Centro; 2 256 441; 1 080 486; 1 175 955;  267 005;  137 165;  129 840;  221 269;  113 353;  107 916;;16;;x;;
   Oeste;  376 961;  182 461;  194 500;  49 508;  25 307;  24 201;  39 379;  20 244;  19 135;;16B;;;x;
Alcobaça;  56 031;  27 173;  28 858;  6 570;  3 310;  3 260;  5 779;  3 030;  2 749;;16B1001;;;;x
Alenquer;  46 738;  22 805;  23 933;  6 991;  3 579;  3 412;  5 180;  2 715;  2 465;;16B1101;;;;x
Arruda dos Vinhos;  14 855;  7 281;  7 574;  2 358;  1 219;  1 139;  1 768;   926;   842;;16B1102;;;;x
Bombarral;  13 492;  6 508;  6 984;  1 689;   889;   800;  1 285;   635;   650;;16B1005;;;;x
Cadaval;  14 024;  6 755;  7 269;  1 648;   852;   796;  1 393;   703;   690;;16B1104;;;;x
Caldas da Rainha;  52 399;  24 876;  27 523;  6 301;  3 190;  3 111;  5 449;  2 790;  2 659;;16B1006;;;;x
Lourinhã;  27 422;  13 316;  14 106;  3 682;  1 925;  1 757;  2 784;  1 408;  1 376;;16B1108;;;;x
