;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;
;Proporção de casamentos entre portugueses/as e estrangeiros/as;População estrangeira a quem foi concedido título de residência por 100 habitantes;Idade mediana da população residente;Índice de envelhecimento;Índice de renovação da população em idade ativa;Índice de dependência de idosas/os;Índice de longevidade;Relação de masculinidade;Relação de masculinidade dos estrangeiros a quem foi concedido título de residência ;Idade média das mulheres ao nascimento do primeiro filho;Idade média da mulher ao primeiro casamento;Idade média do homem ao primeiro casamento;"Esperança de vida à nascença
?";"Esperança de vida aos 65 anos
?";;;;;;
;%;N.º;;;;;;;;anos;;;;;;;Desagregação Territorial;;;
;2022;;;;;;;;;;;;2020-2022;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Baião;  11,1;  0,17;  49,4;  225,8;  62,8;  36,9;  47,7;  92,0;  114,3;x;x;x;x;x;;11C1302;;;;x
Castelo de Paiva;  11,8;  0,50;  48,1;  193,9;  73,3;  32,6;  46,0;  94,8;  208,0;x;x;x;x;x;;11C0106;;;;x
Celorico de Basto;  2,3;  0,16;  48,9;  217,1;  70,0;  39,1;  49,8;  93,2;  133,3;x;x;x;x;x;;11C0305;;;;x
Cinfães;  2,0;  0,38;  50,1;  235,3;  65,4;  42,0;  49,5;  95,7;  294,1;x;x;x;x;x;;11C1804;;;;x
Felgueiras;  4,1;  0,22;  45,5;  154,5;  80,3;  28,2;  42,7;  93,9;  134,0;x;x;x;x;x;;11C1303;;;;x
Lousada;  4,1;  0,41;  43,4;  118,8;  88,4;  23,4;  40,9;  94,1;  438,9;x;x;x;x;x;;11C1305;;;;x
Marco de Canaveses;  5,9;  0,33;  45,9;  154,1;  81,6;  28,0;  43,1;  93,3;  175,0;x;x;x;x;x;;11C1307;;;;x
Paços de Ferreira;  5,2;  0,22;  44,0;  129,4;  86,1;  24,6;  41,4;  98,0;  126,4;x;x;x;x;x;;11C1309;;;;x
Penafiel;  9,9;  0,17;  45,0;  142,0;  80,8;  27,6;  42,5;  93,3;  106,8;x;x;x;x;x;;11C1311;;;;x
Resende;  10,8;  0,18;  50,5;  240,6;  62,4;  41,8;  49,8;  96,1;  80,0;x;x;x;x;x;;11C1813;;;;x
   Douro;  7,9;  0,33;  52,0;  285,0;  59,4;  48,9;  49,7;  91,5;  109,6;  30,4;  32,4;  33,7;  80,66;  19,97;;11D;;;x;
Alijó;  12,5;  0,09;  55,4;  379,5;  51,3;  59,1;  50,6;  95,7;  28,6;x;x;x;x;x;;11D1701;;;;x
Armamar;  0,0;  0,18;  53,6;  323,7;  56,9;  50,6;  54,5;  89,2;  233,3;x;x;x;x;x;;11D1801;;;;x
Carrazeda de Ansiães;  21,1;  0,57;  57,6;  435,2;  50,4;  72,5;  51,7;  93,6;  181,8;x;x;x;x;x;;11D0403;;;;x
Freixo de Espada à Cinta;  14,3;  0,47;  55,6;  365,6;  66,2;  70,8;  58,8;  91,5;  66,7;x;x;x;x;x;;11D0404;;;;x
Lamego;  3,5;  0,15;  51,5;  264,7;  56,8;  43,0;  47,9;  91,0;  60,9;x;x;x;x;x;;11D1805;;;;x
Mesão Frio;  25,0;  0,20;  51,6;  309,2;  64,6;  46,5;  46,2;  90,2;  133,3;x;x;x;x;x;;11D1704;;;;x
Moimenta da Beira;  3,7;  0,42;  51,9;  263,3;  62,9;  51,3;  52,2;  91,6;  90,5;x;x;x;x;x;;11D1807;;;;x
Murça;  0,0;  0,29;  56,8;  447,1;  53,2;  64,4;  51,9;  93,4;  275,0;x;x;x;x;x;;11D1707;;;;x
Penedono;  14,3;  0,22;  55,3;  423,5;  61,3;  59,7;  55,7;  92,0;  200,0;x;x;x;x;x;;11D1812;;;;x
Peso da Régua;  14,0;  0,12;  51,4;  262,8;  58,6;  44,5;  45,5;  89,1;  41,7;x;x;x;x;x;;11D1708;;;;x
Sabrosa;  12,5;  0,11;  54,0;  364,5;  61,6;  58,8;  49,9;  92,7;  200,0;x;x;x;x;x;;11D1710;;;;x
Santa Marta de Penaguião;  0,0;  0,22;  54,5;  354,1;  58,2;  55,6;  46,8;  92,4;  225,0;x;x;x;x;x;;11D1711;;;;x
São João da Pesqueira;  0,0;  0,62;  51,2;  275,3;  58,9;  45,9;  50,4;  97,3;  61,5;x;x;x;x;x;;11D1815;;;;x
Sernancelhe;  0,0;  0,10;  54,9;  370,6;  58,8;  54,8;  52,5;  94,7;  0,0;x;x;x;x;x;;11D1818;;;;x
Tabuaço;  21,1;  0,26;  54,9;  368,5;  57,8;  56,5;  48,6;  90,4;  550,0;x;x;x;x;x;;11D1819;;;;x
Tarouca;  0,0;  0,08;  49,4;  215,8;  63,7;  40,3;  47,2;  94,5;  0,0;x;x;x;x;x;;11D1820;;;;x
Torre de Moncorvo;  10,5;  0,12;  59,9;  493,4;  46,1;  80,9;  55,2;  91,8;  100,0;x;x;x;x;x;;11D0409;;;;x
Vila Nova de Foz Côa;  0,0;  0,10;  56,7;  425,9;  52,1;  66,8;  52,5;  92,2;  500,0;x;x;x;x;x;;11D0914;;;;x
Vila Real;  6,7;  0,65;  48,5;  202,8;  65,7;  38,3;  47,6;  89,6;  105,7;x;x;x;x;x;;11D1714;;;;x
   Terras de Trás-os-Montes;  8,8;  1,18;  54,6;  361,1;  61,5;  61,0;  52,5;  93,1;  101,1;  30,4;  33,5;  34,5;  80,87;  19,98;;11E;;;x;
Alfândega da Fé;  0,0;  0,52;  58,2;  445,7;  51,5;  70,5;  53,9;  95,7;  175,0;x;x;x;x;x;;11E0401;;;;x
Bragança;  15,4;  2,66;  49,7;  262,9;  79,8;  47,3;  50,4;  92,4;  92,9;x;x;x;x;x;;11E0402;;;;x
Macedo de Cavaleiros;  5,9;  0,42;  55,8;  388,1;  53,5;  63,4;  51,3;  91,3;  114,3;x;x;x;x;x;;11E0405;;;;x
Miranda do Douro;  18,2;  0,33;  58,5;  473,0;  52,9;  76,8;  56,4;  93,8;  162,5;x;x;x;x;x;;11E0406;;;;x
Mirandela;  2,0;  0,79;  53,4;  325,0;  63,0;  57,7;  51,6;  90,2;  101,2;x;x;x;x;x;;11E0407;;;;x
Mogadouro;  0,0;  0,34;  58,5;  479,7;  44,7;  72,6;  55,7;  94,2;  460,0;x;x;x;x;x;;11E0408;;;;x
Vila Flor;  6,3;  0,33;  55,7;  397,6;  57,8;  65,4;  50,9;  95,6;  81,8;x;x;x;x;x;;11E0410;;;;x
Vimioso;  16,7;  0,14;  61,5;  578,9;  50,7;  89,7;  53,0;  100,0;  500,0;x;x;x;x;x;;11E0411;;;;x
Vinhais;  0,0;  0,17;  62,4;  683,5;  37,3;  93,5;  56,3;  98,6;  225,0;x;x;x;x;x;;11E0412;;;;x
  Centro;  11,4;  0,92;  49,4;  231,6;  68,8;  45,1;  51,0;  91,9;  111,8;  30,4;  33,4;  34,7;  81,34;  19,85;;16;;x;;
   Oeste;  12,1;  1,28;  47,0;  185,3;  76,4;  38,9;  49,5;  93,8;  124,7;  29,9;  34,2;  35,2;  80,36;  19,36;;16B;;;x;
