;;;;;;;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;;;;;Unit: No.;;;;;;
;Casamentos;;;;;;Casamentos dissolvidos;;;População estrangeira a quem foi concedido título de residência;;;População estrangeira com estatuto de residente;;;;;;;;
;Total;Entre pessoas de sexo oposto;;;Entre pessoas do mesmo sexo;;;;;;;;;;;;;;;;
;;Total;dos quais;;Masculino;Feminino;Total;por divórcio;por morte;;;;;;;;;Desagregação Territorial;;;
;;;Só civis;Católicos;;;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Castelo de Paiva;   34;   34;   20;   14;0;0;   68;   13;   55;   77;   52;   25;   190;   119;   71;;11C0106;;;;x
Celorico de Basto;   44;   44;   23;   21;0;0;   120;   27;   93;   28;   16;   12;   126;   61;   65;;11C0305;;;;x
Cinfães;   49;   48;   24;   24;0;   1;   104;   21;   83;   67;   50;   17;   192;   130;   62;;11C1804;;;;x
Felgueiras;   172;   172;   81;   91;0;0;   287;   84;   203;   124;   71;   53;   547;   278;   269;;11C1303;;;;x
Lousada;   171;   170;   63;   106;   1;0;   255;   77;   178;   194;   158;   36;   638;   413;   225;;11C1305;;;;x
Marco de Canaveses;   236;   235;   136;   99;0;   1;   334;   122;   212;   165;   105;   60;   619;   319;   300;;11C1307;;;;x
Paços de Ferreira;   231;   230;   135;   95;0;   1;   339;   109;   230;   120;   67;   53;   532;   256;   276;;11C1309;;;;x
Penafiel;   313;   310;   171;   139;   2;   1;   402;   109;   293;   122;   63;   59;   709;   333;   376;;11C1311;;;;x
Resende;   37;   36;   18;   18;   1;0;   66;   12;   54;   18;   8;   10;   61;   30;   31;;11C1813;;;;x
   Douro;   567;   564;   322;   242;   3;0;  1 399;   302;  1 097;   610;   319;   291;  2 954;  1 444;  1 510;;11D;;;x;
Alijó;   24;   24;   16;   8;0;0;   67;   10;   57;   9;   2;   7;   89;   34;   55;;11D1701;;;;x
Armamar;   18;   18;   12;   6;0;0;   51;   9;   42;   10;   7;   3;   84;   44;   40;;11D1801;;;;x
Carrazeda de Ansiães;   19;   19;   16;   3;0;0;   44;   4;   40;   31;   20;   11;   154;   86;   68;;11D0403;;;;x
Freixo de Espada à Cinta;   7;   7;   5;   2;0;0;   39;   3;   36;   15;   6;   9;   118;   58;   60;;11D0404;;;;x
Lamego;   86;   84;   31;   53;   2;0;   197;   46;   151;   37;   14;   23;   174;   75;   99;;11D1805;;;;x
Mesão Frio;   24;   23;   20;   3;   1;0;   29;   8;   21;   7;   4;   3;   26;   11;   15;;11D1704;;;;x
Moimenta da Beira;   27;   27;   13;   14;0;0;   87;   20;   67;   40;   19;   21;   177;   87;   90;;11D1807;;;;x
Murça;   15;   15;   8;   7;0;0;   46;   8;   38;   15;   11;   4;   62;   28;   34;;11D1707;;;;x
Penedono;   14;   14;   10;   4;0;0;   28;   5;   23;   6;   4;   2;   24;   12;   12;;11D1812;;;;x
Peso da Régua;   57;   57;   39;   18;0;0;   106;   31;   75;   17;   5;   12;   110;   47;   63;;11D1708;;;;x
Sabrosa;   8;   8;   4;   4;0;0;   42;   7;   35;   6;   4;   2;   41;   20;   21;;11D1710;;;;x
Santa Marta de Penaguião;   15;   15;   7;   8;0;0;   39;   4;   35;   13;   9;   4;   69;   44;   25;;11D1711;;;;x
São João da Pesqueira;   16;   16;   11;   5;0;0;   53;   11;   42;   42;   16;   26;   116;   51;   65;;11D1815;;;;x
Sernancelhe;   22;   22;   9;   13;0;0;   43;   5;   38;   6;   6;0;   69;   46;   23;;11D1818;;;;x
Tabuaço;   19;   19;   13;   6;0;0;   41;   7;   34;   13;   11;   2;   56;   34;   22;;11D1819;;;;x
Tarouca;   15;   15;   7;   8;0;0;   43;   15;   28;   6;   6;0;   69;   34;   35;;11D1820;;;;x
Torre de Moncorvo;   19;   19;   15;   4;0;0;   62;   8;   54;   8;   4;   4;   95;   40;   55;;11D0409;;;;x
Vila Nova de Foz Côa;   13;   13;   8;   5;0;0;   59;   9;   50;   6;   5;   1;   151;   78;   73;;11D0914;;;;x
Vila Real;   149;   149;   78;   71;0;0;   323;   92;   231;   323;   166;   157;  1 270;   615;   655;;11D1714;;;;x
   Terras de Trás-os-Montes;   273;   273;   168;   104;0;0;   873;   150;   723;  1 265;   636;   629;  4 377;  2 090;  2 287;;11E;;;x;
Alfândega da Fé;   5;   5;   4;   1;0;0;   37;   5;   32;   22;   14;   8;   155;   87;   68;;11E0401;;;;x
Bragança;   104;   104;   65;   38;0;0;   235;   51;   184;   926;   446;   480;  2 713;  1 274;  1 439;;11E0402;;;;x
Macedo de Cavaleiros;   51;   51;   34;   17;0;0;   125;   25;   100;   60;   32;   28;   304;   152;   152;;11E0405;;;;x
Miranda do Douro;   11;   11;   5;   6;0;0;   42;   3;   39;   21;   13;   8;   124;   54;   70;;11E0406;;;;x
Mirandela;   49;   49;   30;   19;0;0;   171;   28;   143;   169;   85;   84;   637;   297;   340;;11E0407;;;;x
Mogadouro;   23;   23;   10;   13;0;0;   65;   16;   49;   28;   23;   5;   122;   72;   50;;11E0408;;;;x
Vila Flor;   16;   16;   11;   5;0;0;   69;   8;   61;   20;   9;   11;   190;   94;   96;;11E0410;;;;x
Vimioso;   6;   6;   6;0;0;0;   46;   5;   41;   6;   5;   1;   68;   30;   38;;11E0411;;;;x
Vinhais;   8;   8;   3;   5;0;0;   83;   9;   74;   13;   9;   4;   64;   30;   34;;11E0412;;;;x
  Centro;  7 633;  7 555;  5 124;  2 417;   35;   43;  16 332;  3 882;  12 450;  20 663;  10 905;  9 758;  108 355;  55 672;  52 683;;16;;x;;
   Oeste;  1 638;  1 613;  1 194;   415;   10;   15;  2 525;   644;  1 881;  4 788;  2 657;  2 131;  26 835;  14 239;  12 596;;16B;;;x;
Alcobaça;   203;   202;   132;   68;   1;0;   379;   99;   280;   607;   334;   273;  3 278;  1 722;  1 556;;16B1001;;;;x
Alenquer;   212;   210;   173;   37;   1;   1;   268;   84;   184;   592;   314;   278;  3 723;  1 910;  1 813;;16B1101;;;;x
Arruda dos Vinhos;   80;   79;   61;   18;0;   1;   92;   27;   65;   131;   82;   49;   807;   428;   379;;16B1102;;;;x
Bombarral;   62;   58;   58;0;   3;   1;   92;   30;   62;   153;   89;   64;   778;   417;   361;;16B1005;;;;x
Cadaval;   64;   64;   46;   18;0;0;   96;   15;   81;   64;   34;   30;   498;   268;   230;;16B1104;;;;x
Caldas da Rainha;   158;   157;   121;   36;0;   1;   366;   77;   289;   885;   464;   421;  4 755;  2 454;  2 301;;16B1006;;;;x
Lourinhã;   97;   96;   66;   30;0;   1;   186;   40;   146;   363;   215;   148;  1 961;  1 032;   929;;16B1108;;;;x
Nazaré;   156;   149;   129;   20;0;   7;   122;   26;   96;   221;   111;   110;  1 290;   656;   634;;16B1011;;;;x
Óbidos;   63;   62;   44;   18;   1;0;   95;   29;   66;   184;   105;   79;  1 131;   587;   544;;16B1012;;;;x
Peniche;   115;   112;   79;   33;   1;   2;   227;   67;   160;   335;   179;   156;  1 753;   901;   852;;16B1014;;;;x
Sobral de Monte Agraço;   95;   94;   57;   37;   1;0;   48;   7;   41;   96;   49;   47;   481;   247;   234;;16B1112;;;;x
Torres Vedras;   333;   330;   228;   100;   2;   1;   554;   143;   411;  1 157;   681;   476;  6 380;  3 617;  2 763;;16B1113;;;;x
   Região de Aveiro;  1 266;  1 248;   889;   357;   7;   11;  2 435;   710;  1 725;  3 447;  1 916;  1 531;  16 704;  8 457;  8 247;;16D;;;x;
Águeda;   130;   130;   88;   42;0;0;   296;   75;   221;   444;   271;   173;  1 963;  1 058;   905;;16D0101;;;;x
Albergaria-a-Velha;   75;   75;   53;   22;0;0;   172;   54;   118;   162;   84;   78;   813;   425;   388;;16D0102;;;;x
Anadia;   72;   70;   43;   27;   2;0;   201;   31;   170;   177;   101;   76;   901;   459;   442;;16D0103;;;;x
Aveiro;   325;   320;   254;   64;   2;   3;   475;   161;   314;  1 529;   899;   630;  6 885;  3 513;  3 372;;16D0105;;;;x
Estarreja;   87;   86;   52;   34;0;   1;   188;   42;   146;   116;   58;   58;   751;   395;   356;;16D0108;;;;x
Ílhavo;   107;   106;   80;   26;0;   1;   261;   83;   178;   275;   142;   133;  1 672;   779;   893;;16D0110;;;;x
Murtosa;   69;   68;   49;   19;0;   1;   83;   23;   60;   39;   12;   27;   244;   115;   129;;16D0112;;;;x
Oliveira do Bairro;   98;   98;   62;   36;0;0;   162;   53;   109;   217;   105;   112;  1 161;   557;   604;;16D0114;;;;x
Ovar;   147;   141;   113;   28;   2;   4;   361;   130;   231;   233;   118;   115;  1 225;   625;   600;;16D0115;;;;x
Sever do Vouga;   18;   18;   12;   6;0;0;   78;   17;   61;   104;   51;   53;   307;   134;   173;;16D0117;;;;x
Vagos;   138;   136;   83;   53;   1;   1;   158;   41;   117;   151;   75;   76;   782;   397;   385;;16D0118;;;;x
   Região de Coimbra;  1 430;  1 413;   949;   464;   10;   7;  3 186;   756;  2 430;  4 445;  2 135;  2 310;  20 589;  10 141;  10 448;;16E;;;x;
Arganil;   47;   47;   36;   11;0;0;   91;   15;   76;   136;   81;   55;   860;   450;   410;;16E0601;;;;x
Cantanhede;   151;   151;   110;   41;0;0;   282;   55;   227;   130;   66;   64;   854;   425;   429;;16E0602;;;;x
Coimbra;   462;   457;   293;   164;   3;   2;   938;   260;   678;  2 643;  1 181;  1 462;  9 034;  4 184;  4 850;;16E0603;;;;x
Condeixa-a-Nova;   45;   45;   26;   19;0;0;   103;   35;   68;   53;   17;   36;   405;   168;   237;;16E0604;;;;x
Figueira da Foz;   219;   215;   180;   35;   2;   2;   453;   113;   340;   576;   299;   277;  3 366;  1 721;  1 645;;16E0605;;;;x
Góis;   10;   10;   8;   2;0;0;   24;   1;   23;   24;   11;   13;   291;   160;   131;;16E0606;;;;x
Lousã;   15;   15;   11;   4;0;0;   115;   44;   71;   81;   48;   33;   609;   306;   303;;16E0607;;;;x
Mealhada;   57;   56;   38;   18;   1;0;   142;   35;   107;   66;   38;   28;   411;   206;   205;;16E0111;;;;x
Mira;   40;   39;   21;   18;   1;0;   90;   20;   70;   93;   34;   59;   403;   186;   217;;16E0608;;;;x
Miranda do Corvo;   36;   36;   18;   18;0;0;   86;   18;   68;   52;   27;   25;   410;   211;   199;;16E0609;;;;x
Montemor-o-Velho;   101;   99;   55;   44;   1;   1;   174;   36;   138;   70;   35;   35;   395;   210;   185;;16E0610;;;;x
Mortágua;   27;   26;   20;   6;   1;0;   80;   11;   69;   80;   48;   32;   387;   221;   166;;16E1808;;;;x
Oliveira do Hospital;   36;   36;   19;   17;0;0;   171;   41;   130;   125;   80;   45;   939;   525;   414;;16E0611;;;;x
Pampilhosa da Serra;   10;   10;   7;   3;0;0;   39;   3;   36;   5;   3;   2;   41;   20;   21;;16E0612;;;;x
Penacova;   39;   39;   20;   19;0;0;   98;   19;   79;   27;   21;   6;   213;   112;   101;;16E0613;;;;x
Penela;   45;   44;   30;   14;   1;0;   42;   7;   35;   67;   39;   28;   452;   254;   198;;16E0614;;;;x
Soure;   37;   37;   24;   13;0;0;   133;   19;   114;   48;   23;   25;   330;   159;   171;;16E0615;;;;x
Tábua;   23;   22;   16;   6;0;   1;   78;   14;   64;   98;   44;   54;   777;   398;   379;;16E0616;;;;x
Vila Nova de Poiares;   30;   29;   17;   12;0;   1;   47;   10;   37;   71;   40;   31;   412;   225;   187;;16E0617;;;;x
   Região de Leiria;   938;   933;   605;   325;   2;   3;  1 967;   526;  1 441;  2 943;  1 545;  1 398;  17 728;  9 191;  8 537;;16F;;;x;
Alvaiázere;   26;   26;   8;   18;0;0;   47;   8;   39;   52;   25;   27;   509;   270;   239;;16F1002;;;;x
Ansião;   29;   29;   14;   15;0;0;   90;   17;   73;   57;   31;   26;   446;   240;   206;;16F1003;;;;x
Batalha;   79;   78;   52;   26;0;   1;   88;   20;   68;   99;   56;   43;   730;   382;   348;;16F1004;;;;x
Castanheira de Pêra;   7;   7;   5;   2;0;0;   21;   2;   19;   24;   13;   11;   148;   79;   69;;16F1007;;;;x
